11,Chinese Antique Jade Quanyin,Secolul 19,Dark Green Jade,9.2,China,13.8 x 7 x 3.75 in,"Large Jade Quanyin dates from the 19th century , beautifully carved, with great detail. Rich rare dark green Jade with interesting internal figures, great luster.",../Obiecte/China/Chinese Antique Jade Quanyin.JPG
12,GROUND YUHUCHUN WITH MOLDED INCISED PHOENIX,Secolul 13,Portelan,9,China,28.5 cm,"A very important and rare blue ground glazed Yuhuchunping, decorated with molded incised of a Phoenix on flight position. Condition is almost excellent, no any crack, no any chip and free from any restoration. Yuan Dynasty",../Obiecte/China/GROUND YUHUCHUN WITH MOLDED INCISED PHOENIX.JPG
13,EXTREMELY RARE YUAN DYNASTY BLUE AND WHITE DISH WITH PHOENIXS,Secolul 13,Portelan,10,China,31 cm,"A spectacular blue and white dish, with flower shaped rim and decorated with a pair Phoenix's flight among Chrysanthemum, surrounded by leafy of ten blackberry lily blossom to rim, the cavetto side with continuously lotus pattern, base unglazed. Found it in perfect condition is extremely lucky.",../Obiecte/China/EXTREMELY RARE YUAN DYNASTY BLUE AND WHITE DISH WITH PHOENIXS.JPG
14,BLUE AND WHITE YUAN DYNASTY DRAGON JAR WITH COVER,Secolul 13,Portelan,9.1,China,7.5 x 11.5 x 8.8 cm,"A rare blue and white jar with original cover, decorated with painted an open mouth Dragon with three claws chasing flaming pearl. Nice glazed and condition with no any chips, no any cracks and free from any restoration, near excellent. Yuan Dynasty 13th-14th century Jindezhen ware.",../Obiecte/China/BLUE AND WHITE YUAN DYNASTY DRAGON JAR WITH COVER.JPG
15,Chinese Celadon Famille Rose Medallion Porcelain Vase,Secolul 19,Portelan,8.9,China,61 x 24.5 cm,"It has rubbing of paint and gold, dark spots, a hole at the bottom and surface wears and scratches (as seen in the photos).",../Obiecte/China/Chinese Celadon Famille Rose Medallion Porcelain Vase.JPG
16,Old Chinese Guan Ge Type Crackle Porcelain Vase Marked,Secolul 20,Portelan,9.5,China,25.7 x 11.3 cm,"It has glaze crazing, glaze cracks, skip glazes, dark spots and surface wears and scratches (as seen in the photos).",../Obiecte/China/Old Chinese Guan Ge Type Crackle Porcelain Vase Marked.JPG
17,"The eight horses of Wang Mu, Chinese vase",1920,Portelan,8.4,China,23 cm,"A bulbous vase finely painted in Famille rose enamels, the decoration depicting the eight horses of Mu Wang, the Queen Mother of the West. Four-character Qianlong mark in over-glaze blue to the base.","../Obiecte/China/The eight horses of Wang Mu, Chinese vase.JPG"
18,"Polychrome Porcelain Joss Stick Elephant Holder, China",Secolul 19,Portelan,8.3,China,19 x 23 x 14 cm,"Very attractive and rare pink porcelain joss stick elephant, polychrome enamel, finely painted, China Export, condition: good","../Obiecte/China/Polychrome Porcelain Joss Stick Elephant Holder, China.JPG"
19,Chinese Export pot de creme or custard cup,Secolul 17,Portelan,7.6,China,10.5 cm ,"Syllabub or custard cup (or pot de creme) in the shape of a bud or a fruit within relief moulded, stylized scale leaves. The lid modelled as a small Mandarin cap. Decorated with European style flowers and gilt borders. Late Qianlong.",../Obiecte/China/Chinese Export pot de creme or custard cup.JPG
20,Chinese mudman Famille Rose Sculpture,Secolul 19,Portelan,7.1,China,41 cm,"A beautiful tall late 19th or 20th C. Chinese famille rose mudman, in excellent condition.Signed",../Obiecte/China/Chinese mudman Famille Rose Sculpture.JPG
